Name,Hex
Chrome Rose Gold,#BA726D
Cameo Pink,#E9CCC8
Chrome Red,#C2463E
Standard Red,#FF0000
Standard Orange,#EF6B24
White Sand,#D8C6B5
Chrome Gold,#BF9855
Latte Brown,#C39958
Goldenrod,#FFD46E
Chrome White Gold,#EFECE2
Pastel Yellow,#FBF8D2
Lime Green,#8FC73E
Forest Green,#218B21
Sage / Tea Green,#B2DDC3
Baby Blue,#A0DAEB
Turquoise,#37B9CA
Carolina Blue,#49808B
Navy Blue,#1F337D
Standard Blue,#0000FF
Lavender / Lilac,#C4B9D9
Plum Purple,#5E1791
Baby Pink,#F7CEDE
Flamingo Pink,#F65B85
Standard Black,#000000
Chrome Silver,#B4B4B4
Fog Gray,#D5D5D5
Standard White,#FFFFFF