group_id,cx,cy,radius,z_index,shape,rotation
1,154,326,14.84375,5,circleShape,0
1,176,333,14.84375,7,circleShape,0
1,134,335,14.84375,9,circleShape,0
1,127,289,14.84375,11,circleShape,0
1,161,363,14.84375,11,circleShape,0
1,139,357,14.84375,13,circleShape,0
1,175,356,14.84375,15,circleShape,0
1,170,307,14.0625,17,circleShape,0
1,143,304,14.0625,19,circleShape,0
1,163,287,14.0625,21,circleShape,0
1,182,277,14.0625,23,circleShape,0
1,161,261,14.0625,25,circleShape,0
1,149,275,14.0625,27,circleShape,0
1,158,338,7.03125,29,circleShape,0
1,161,346,7.03125,31,circleShape,0
1,151,345,7.03125,33,circleShape,0
1,182,317,7.03125,35,circleShape,0
1,183,309,7.03125,37,circleShape,0
1,188,324,7.03125,39,circleShape,0
1,177,293,7.03125,41,circleShape,0
1,149,292,7.03125,43,circleShape,0
1,146,300,7.03125,45,circleShape,0
1,145,285,7.03125,47,circleShape,0
1,181,267,7.03125,49,circleShape,0
1,174,266,7.03125,51,circleShape,0
1,175,259,7.03125,53,circleShape,0
1,124,316,21.875,55,circleShape,0
1,197,356,21.875,57,circleShape,0
1,111,356,21.875,59,circleShape,0
1,130,264,21.875,61,circleShape,0
2,145,244,14.0625,63,circleShape,0
2,164,238,14.0625,65,circleShape,0
2,180,247,14.0625,67,circleShape,0
2,147,218,14.0625,69,circleShape,0
2,182,222,14.0625,71,circleShape,0
2,169,220,14.0625,73,circleShape,0
2,140,225,14.0625,75,circleShape,0
2,147,201,14.0625,77,circleShape,0
2,166,191,14.0625,79,circleShape,0
2,190,200,14.0625,81,circleShape,0
2,149,178,14.0625,83,circleShape,0
2,187,183,14.0625,85,circleShape,0
2,171,168,14.0625,87,circleShape,0
2,190,210,14.0625,89,circleShape,0
2,173,201,7.03125,91,circleShape,0
2,172,210,7.03125,93,circleShape,0
2,159,210,7.03125,95,circleShape,0
2,128,239,7.03125,97,circleShape,0
2,126,231,7.03125,99,circleShape,0
2,135,232,7.03125,101,circleShape,0
2,201,226,7.03125,103,circleShape,0
2,191,239,7.03125,105,circleShape,0
2,198,236,7.03125,107,circleShape,0
2,199,174,7.03125,109,circleShape,0
2,187,168,7.03125,111,circleShape,0
2,194,166,7.03125,113,circleShape,0
2,129,207,21.875,115,circleShape,0
2,196,193,21.875,117,circleShape,0
3,151,155,14.0625,119,circleShape,0
3,175,149,14.0625,121,circleShape,0
3,190,162,14.0625,123,circleShape,0
3,159,133,14.0625,125,circleShape,0
3,197,136,14.0625,127,circleShape,0
3,178,133,14.0625,129,circleShape,0
3,165,119,14.0625,131,circleShape,0
3,202,119,14.0625,133,circleShape,0
3,163,100,14.0625,135,circleShape,0
3,186,101,14.0625,137,circleShape,0
3,171,80,14.0625,139,circleShape,0
3,209,101,14.0625,141,circleShape,0
3,194,81,14.0625,143,circleShape,0
3,218,119,14.0625,145,circleShape,0
3,187,111,7.8125,147,circleShape,0
3,179,118,7.8125,149,circleShape,0
3,188,123,7.8125,151,circleShape,0
3,206,150,7.8125,153,circleShape,0
3,207,136,7.8125,155,circleShape,0
3,214,142,7.8125,157,circleShape,0
3,210,84,7.8125,159,circleShape,0
3,219,94,7.8125,161,circleShape,0
3,223,80,7.8125,163,circleShape,0
3,150,138,7.8125,165,circleShape,0
3,141,145,7.8125,167,circleShape,0
3,154,150,7.8125,169,circleShape,0
3,157,88,7.8125,171,circleShape,0
3,167,87,7.8125,173,circleShape,0
3,162,98,7.8125,175,circleShape,0
3,135,163,21.875,177,circleShape,0
3,199,64,21.875,179,circleShape,0
3,145,114,21.875,181,circleShape,0
1,280,125,35,0,halfRound,0
1,255,155,40,1,image(assets/custom-black.png),0